match_id,point_description
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,2
11998445,2
11998445,0
11998445,0
11998445,2
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,2
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,2
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,2
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,2
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,2
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,2
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,0
11998445,1
11998445,0
11998445,0
11998445,0
11998446,1
11998446,0
11998446,0
11998446,2
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,1
11998446,0
11998446,0
11998446,0
11998446,1
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,2
11998446,0
11998446,1
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,1
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,0
11998446,1
11998446,0
11998446,0
11998446,0
11998446,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,2
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,2
11998447,0
11998447,0
11998447,2
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998447,1
11998447,1
11998447,0
11998447,0
11998447,2
11998447,2
11998447,0
11998447,1
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,1
11998447,0
11998447,0
11998447,0
11998447,0
11998447,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,1
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,2
11998448,0
11998448,0
11998448,2
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,1
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,2
11998448,0
11998448,0
11998448,0
11998448,1
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
11998448,0
