match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration,formatted_duration
12052140,1839,2041,0,0,0,1707408136.0,3880,0 days 01:04:40
12052175,2888,3562,5265,0,0,1707417853.0,11715,0 days 03:15:15
12052254,1809,2672,2403,0,0,1707417321.0,6884,0 days 01:54:44
12052255,1676,1902,0,0,0,1707401709.0,3578,0 days 00:59:38
12052259,2131,4622,3088,0,0,1707414450.0,9841,0 days 02:44:01
12052321,2513,1290,0,0,0,1707413418.0,3803,0 days 01:03:23
12052333,3805,2658,0,0,0,1707401594.0,6463,0 days 01:47:43
12052354,1831,1360,0,0,0,1707407359.0,3191,0 days 00:53:11
12052418,5119,2275,0,0,0,1707406892.0,7394,0 days 02:03:14
12052426,3542,3730,0,0,0,1707420004.0,7272,0 days 02:01:12
12052428,2227,3301,0,0,0,1707403721.0,5528,0 days 01:32:08
12052436,2977,2282,0,0,0,1707407658.0,5259,0 days 01:27:39
12052439,3299,2292,0,0,0,1707423518.0,5591,0 days 01:33:11
12052448,2796,2491,0,0,0,1707403966.0,5287,0 days 01:28:07
12052481,2442,3160,5754,0,0,1707410754.0,11356,0 days 03:09:16
12052488,3312,3709,0,0,0,1707401838.0,7021,0 days 01:57:01
12052498,3201,4681,0,0,0,1707414594.0,7882,0 days 02:11:22
12052502,3256,2377,2329,0,0,1707408678.0,7962,0 days 02:12:42
12052534,2880,2937,0,0,0,1707422239.0,5817,0 days 01:36:57
12052535,3722,3444,0,0,0,1707429844.0,7166,0 days 01:59:26
12052547,2609,2620,0,0,0,1707412478.0,5229,0 days 01:27:09
12052550,1762,2606,0,0,0,1707411813.0,4368,0 days 01:12:48
12052551,4907,3431,3411,0,0,1707406533.0,11749,0 days 03:15:49
12052554,2602,2349,3395,0,0,1707410543.0,8346,0 days 02:19:06
12052556,3288,3044,2155,0,0,1707407731.0,8487,0 days 02:21:27
12052614,2775,3293,0,0,0,1707407691.0,6068,0 days 01:41:08
12052684,2263,2687,0,0,0,1707426932.0,4950,0 days 01:22:30
12052761,3416,4390,0,0,0,1707422756.0,7806,0 days 02:10:06
12053206,1662,2084,0,0,0,1707429668.0,3746,0 days 01:02:26
12053214,3105,2094,2934,0,0,1707439535.0,8133,0 days 02:15:33
12053218,3230,2292,0,0,0,1707443986.0,5522,0 days 01:32:02
12053221,2641,3570,0,0,0,1707436752.0,6211,0 days 01:43:31
12053231,2773,1560,0,0,0,1707436825.0,4333,0 days 01:12:13
12053258,2497,2311,0,0,0,1707443895.0,4808,0 days 01:20:08
12053865,76450,2620,81755,0,0,1707475914.0,160825,1 days 20:40:25
12053932,3403,2557,0,0,0,1707554895.0,5960,0 days 01:39:20
12053941,2179,2460,2646,0,0,1707470883.0,7285,0 days 02:01:25
12054269,0,0,0,0,0,1707558680.0,0,0 days 00:00:00
12054289,2019,3469,1779,0,0,1707471875.0,7267,0 days 02:01:07
12054299,2888,5524,1056,0,0,1707476981.0,9468,0 days 02:37:48
12054300,1755,2416,0,0,0,1707467921.0,4171,0 days 01:09:31
12054302,2055,2631,0,0,0,1707481664.0,4686,0 days 01:18:06
12054304,2773,2730,3106,0,0,1707475253.0,8609,0 days 02:23:29
12054311,4120,4143,2137,0,0,1707474673.0,10400,0 days 02:53:20
