match_id,period_1,period_2,period_3,period_4,period_5,total_duration
12017963,6000.0,1984.0,3292.9835851249272,0.0,0.0,11276.983585124926
12017964,3676.0,2213.0,0.0,0.0,0.0,5889.0
12017965,4299.0,4079.0,0.0,0.0,0.0,8378.0
12017967,2845.0,2143.0,2738.0,0.0,0.0,7726.0
12017970,3176.0,2865.0,0.0,0.0,0.0,6041.0
12017971,3182.0,4143.0,2482.0,0.0,0.0,9807.0
12017973,1481.0,2396.0,0.0,0.0,0.0,3877.0
12017974,2407.0,1493.0,0.0,0.0,0.0,3900.0
12018501,2195.0,2400.0,0.0,0.0,0.0,4595.0
12018502,3186.0,2859.0,2714.0,0.0,0.0,8759.0
12018504,2895.0,2384.0,0.0,0.0,0.0,5279.0
12018505,1446.0,2387.0,0.0,0.0,0.0,3833.0
12018506,0.0,0.0,0.0,0.0,0.0,0.0
12018508,1848.0,2226.0,0.0,0.0,0.0,4074.0
12018511,1936.0,976.0,0.0,0.0,0.0,2912.0
12018512,2376.0,3363.0,0.0,0.0,0.0,5739.0
12018530,2136.0,3276.0,0.0,0.0,0.0,5412.0
12018531,2387.0,2902.0,0.0,0.0,0.0,5289.0
12018532,1862.0,1826.0,0.0,0.0,0.0,3688.0
12018533,1766.0,2387.0,0.0,0.0,0.0,4153.0
12018535,1854.0,2070.0,0.0,0.0,0.0,3924.0
12018536,2572.0,3123.0,0.0,0.0,0.0,5695.0
12018540,2181.0,3016.0,0.0,0.0,0.0,5197.0
12018541,3285.0,3524.0,0.0,0.0,0.0,6809.0
12018542,1627.0,2134.0,0.0,0.0,0.0,3761.0
12018574,1859.0,2596.0,3814.0,0.0,0.0,8269.0
12018575,1441.0,2003.0,2993.0,0.0,0.0,6437.0
12018576,2201.0,1244.0,0.0,0.0,0.0,3445.0
12018580,1759.0,2538.0,0.0,0.0,0.0,4297.0
12018587,2496.0,2444.0,0.0,0.0,0.0,4940.0
12018588,3693.0,2904.0,0.0,0.0,0.0,6597.0
12018620,2801.0,2599.0,2003.0,0.0,0.0,7403.0
12018623,5146.0,2334.0,2625.0,0.0,0.0,10105.0
12018624,3460.0,2378.0,0.0,0.0,0.0,5838.0
12018626,2751.0,2378.0,0.0,0.0,0.0,5129.0
12018627,3137.0,3527.0,0.0,0.0,0.0,6664.0
12018628,3636.0,3001.0,0.0,0.0,0.0,6637.0
12018633,3567.0,2995.0,3938.0,0.0,0.0,10500.0
12018643,1918.0,2572.0,0.0,0.0,0.0,4490.0
12018645,2658.0,1991.0,0.0,0.0,0.0,4649.0
12018647,3074.0,2272.0,0.0,0.0,0.0,5346.0
12018648,2152.0,2577.0,0.0,0.0,0.0,4729.0
12018649,2925.0,3767.0,2374.0,0.0,0.0,9066.0
12018651,3435.0,3201.0,0.0,0.0,0.0,6636.0
12018654,3861.0,2068.0,0.0,0.0,0.0,5929.0
12018655,3631.0,2011.0,0.0,0.0,0.0,5642.0
12018656,2524.0,2560.0,2732.0,0.0,0.0,7816.0
